threshold,accuracy,acceptance_rate,fnr,tnr,tpr,fpr,ece,brier,tp,fp,tn,fn,precision,recall,f1_score,correct,total
0.0000,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.0101,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.0202,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.0303,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.0404,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.0505,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.0606,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.0707,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.0808,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.0909,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1010,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1111,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1212,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1313,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1414,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1515,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1616,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1717,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1818,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.1919,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.2020,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.2121,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.2222,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.2323,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.2424,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.2525,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.2626,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
0.2727,0.5300,1.0000,0.0000,0.0000,1.0000,1.0000,0.2372,0.3033,53,47,0,0,0.5300,1.0000,0.6928,53,100
